"","districts","income"
"1","Bay Street Corridor",56526
"2","Islington-City Centre West",52787
"3","Mount Pleasant West",57039
"4","Niagara",70623
"5","New Toronto",44101
"6","Lawrence Park South",169203
"7","Glenfield-Jane Heights",27984
"8","Mount Pleasant East",85340
"9","Malvern",29573
"10","Junction Area",49709
"11","Wexford/Maryvale",35047
"12","Cabbagetown-South St. James Town",63012
"13","St.Andrew-Windfields",100516
"14","Banbury-Don Mills",67757
"15","Milliken",28085
"16","Mimico (includes Humber Bay Shores)",54438
"17","West Hill",33323
"18","Birchcliffe-Cliffside",54360
"19","Dorset Park",31692
"20","Yorkdale-Glen Park",38527
"21","Church-Yonge Corridor",53583
"22","Rockcliffe-Smythe",34059
"23","O'Connor-Parkview",43907
"24","York University Heights",29958
"25","South Parkdale",35207
"26","Downsview-Roding-CFB",34168
"27","Trinity-Bellwoods",50694
"28","Dovercourt-Wallace Emerson-Junction",39740
"29","Willowdale West",44576
"30","Greenwood-Coxwell",46206
"31","Markland Wood",62378
"32","Scarborough Village",32913
"33","Victoria Village",35786
"34","East End-Danforth",54324
"35","North St. James Town",32648
"36","Ionview",31383
"37","Rustic",31800
"38","Waterfront Communities-The Island",70600
"39","Mount Dennis",30827
"40","Oakwood Village",39803
"41","Annex",112766
"42","Flemingdon Park",28654
"43","Agincourt South-Malvern West",31825
"44","Bedford Park-Nortown",123077
"45","Bendale",33256
"46","L'Amoreaux",31826
"47","Newtonbrook East",45212
"48","South Riverdale",53803
"49","Henry Farm",36359
"50","Yonge-St.Clair",114174
"51","Clanton Park",51181
"52","Humbermede",29528
"53","West Humber-Clairville",31771
"54","Bayview Village",52035
"55","Mount Olive-Silverstone-Jamestown",26548
"56","Wychwood",54460
"57","Moss Park",58915
"58","Kennedy Park",30974
"59","Keelesdale-Eglinton West",33316
"60","High Park-Swansea",71204
"61","Little Portugal",45737
"62","Don Valley Village",37379
"63","Hillcrest Village",40442
"64","Pleasant View",36346
"65","Danforth",55225
"66","Weston",32997
"67","Princess-Rosethorn",99055
"68","Briar Hill-Belgravia",34768
"69","Kingsview Village-The Westway",36674
"70","Morningside",32291
"71","Elms-Old Rexdale",32012
"72","Agincourt North",30414
"73","Roncesvalles",50580
"74","The Beaches",92580
"75","Bridle Path-Sunnybrook-York Mills",308010
"76","Clairlea-Birchmount",36232
"77","Rosedale-Moore Park",207903
"78","Woodbine Corridor",55199
"79","Bathurst Manor",45936
"80","Kensington-Chinatown",37422
"81","Stonegate-Queensway",64140
"82","Danforth East York",51846
"83","Newtonbrook West",34904
"84","Etobicoke West Mall",38255
"85","Humber Summit",30731
"86","Woodbine-Lumsden",47710
"87","Pelmo Park-Humberlea",39003
"88","Parkwoods-Donalda",42516
"89","Forest Hill North",85099
"90","Lawrence Park North",111730
"91","Thorncliffe Park",28875
"92","Maple Leaf",37108
"93","Steeles",31786
"94","Humber Heights-Westmount",45615
"95","Eglinton East",30033
"96","Corso Italia-Davenport",41717
"97","Rouge",39556
"98","University",50757
"99","Lansing-Westgate",72371
"100","Alderwood",47709
"101","Oakridge",26793
"102","Humewood-Cedarvale",65274
"103","Woburn",30878
"104","Old East York",53315
"105","Playter Estates-Danforth",70831
"106","Willowdale East",45326
"107","Westminster-Branson",32724
"108","Cliffcrest",44718
"109","Centennial Scarborough",54045
"110","Englemount-Lawrence",48134
"111","Leaside-Bennington",125564
"112","Yonge-Eglinton",89330
"113","Rexdale-Kipling",34418
"114","Brookhaven-Amesbury",32483
"115","Guildwood",53203
"116","Eringate-Centennial-West Deane",47002
"117","Casa Loma",165047
"118","Taylor-Massey",30430
"119","Broadview North",44557
"120","Bayview Woods-Steeles",47246
"121","Tam O'Shanter-Sullivan",34200
"122","Kingsway South",144642
"123","Blake-Jones",48511
"124","High Park North",57465
"125","Thistletown-Beaumond Heights",32815
"126","North Riverdale",73253
"127","Regent Park",34597
"128","Edenbridge-Humber Valley",101551
"129","Weston-Pelham Park",33528
"130","Palmerston-Little Italy",58071
"131","Runnymede-Bloor West Village",71888
"132","Long Branch",47384
"133","Dufferin Grove",40588
"134","Willowridge-Martingrove-Richview",44177
"135","Black Creek",25989
"136","Beechborough-Greenbrook",33829
"137","Caledonia-Fairbank",35112
"138","Forest Hill South",204521
"139","Lambton Baby Point",76629
"140","Highland Creek",40972
